"Plot Title: 20365583"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365583, SEN S/N: 20365583)","Coupler Detached (LGR S/N: 20365583)","Bad Battery (LGR S/N: 20365583)","Good Battery (LGR S/N: 20365583)","Coupler Attached (LGR S/N: 20365583)","Host Connected (LGR S/N: 20365583)","Stopped (LGR S/N: 20365583)","End Of File (LGR S/N: 20365583)"
402,10/21/22 04:21:41 AM,3.472,,,,,,,
403,10/21/22 06:21:41 AM,2.730,,,,,,,
404,10/21/22 08:21:41 AM,2.303,,,,,,,
405,10/21/22 10:21:41 AM,3.788,,,,,,,
406,10/21/22 12:21:41 PM,8.382,,,,,,,
407,10/21/22 02:21:41 PM,11.139,,,,,,,
408,10/21/22 04:21:41 PM,12.401,,,,,,,
409,10/21/22 06:21:41 PM,8.382,,,,,,,
410,10/21/22 08:21:41 PM,5.552,,,,,,,
411,10/21/22 10:21:41 PM,4.519,,,,,,,
412,10/22/22 12:21:41 AM,3.578,,,,,,,
413,10/22/22 02:21:41 AM,3.049,,,,,,,
414,10/22/22 04:21:41 AM,2.624,,,,,,,
415,10/22/22 06:21:41 AM,2.195,,,,,,,
416,10/22/22 08:21:41 AM,2.195,,,,,,,
417,10/22/22 10:21:41 AM,7.481,,,,,,,
418,10/22/22 12:21:41 PM,13.173,,,,,,,
419,10/22/22 02:21:41 PM,16.141,,,,,,,
420,10/22/22 04:21:41 PM,14.230,,,,,,,
421,10/22/22 06:21:41 PM,8.879,,,,,,,
422,10/22/22 08:21:41 PM,5.860,,,,,,,
423,10/22/22 10:21:41 PM,4.623,,,,,,,
424,10/23/22 12:21:41 AM,4.102,,,,,,,
425,10/23/22 02:21:41 AM,3.683,,,,,,,
426,10/23/22 04:21:41 AM,3.367,,,,,,,
427,10/23/22 06:21:41 AM,2.943,,,,,,,
428,10/23/22 08:21:41 AM,2.943,,,,,,,
429,10/23/22 10:21:41 AM,6.370,,,,,,,
430,10/23/22 12:21:41 PM,6.978,,,,,,,
431,10/23/22 02:21:41 PM,7.582,,,,,,,
432,10/23/22 04:21:41 PM,4.415,,,,,,,
433,10/23/22 06:21:41 PM,0.453,,,,,,,
434,10/23/22 08:21:41 PM,-0.887,,,,,,,
435,10/23/22 10:21:41 PM,-2.261,,,,,,,
436,10/24/22 12:21:41 AM,-2.030,,,,,,,
437,10/24/22 02:21:41 AM,-3.434,,,,,,,
438,10/24/22 04:21:41 AM,-4.152,,,,,,,
439,10/24/22 06:21:41 AM,-4.758,,,,,,,
440,10/24/22 08:21:41 AM,-4.758,,,,,,,
441,10/24/22 10:21:41 AM,-2.727,,,,,,,
442,10/24/22 12:21:41 PM,-0.774,,,,,,,
443,10/24/22 02:21:41 PM,0.343,,,,,,,
444,10/24/22 04:21:41 PM,-1.341,,,,,,,
445,10/24/22 06:21:41 PM,-3.553,,,,,,,
446,10/24/22 08:21:41 PM,-4.758,,,,,,,
447,10/24/22 10:21:41 PM,-5.003,,,,,,,
448,10/25/22 12:21:41 AM,-4.880,,,,,,,
449,10/25/22 02:21:41 AM,-4.636,,,,,,,
450,10/25/22 04:21:41 AM,-4.272,,,,,,,
451,10/25/22 06:21:41 AM,-3.792,,,,,,,
452,10/25/22 08:21:41 AM,-3.553,,,,,,,
453,10/25/22 10:21:41 AM,-1.799,,,,,,,
454,10/25/22 12:21:41 PM,-0.213,,,,,,,
455,10/25/22 02:21:41 PM,1.112,,,,,,,
456,10/25/22 04:21:41 PM,-0.325,,,,,,,
